data,autor,texto_original,respostas_coletadas,likes,reposts,uri,termo_busca,categoria_autor
2025-07-06 03:40:36.614000+00:00,usuario_anonimo_1684,Parei de usar pq o meu era mais parado que água de dengue,,1,0,at://did:plc:b3x2pjish7cym4iovuykuyre/app.bsky.feed.post/3ltbdyrxnwc25,dengue,Comum
2025-07-05 23:13:47.087000+00:00,vampirelayer.shy.cat,a dengue fez a semana do sangue atrasar e eu to angustiada ha eras odeio tpm,,0,0,at://did:plc:635ugrm2adrmoz7yokasvyoj/app.bsky.feed.post/3ltav3o3p6s2r,dengue,Oficial/Verificado
2025-07-05 19:25:19.983000+00:00,usuario_anonimo_3659,"De 2002.

""Especialistas culpam Serra por fracasso com a dengue""
MÁRIO MAGALHÃES
da Folha de S.Paulo, no Rio
*****
Vale olhar os dados de orçamento no artigo. 
Austeridade mata. E não é força de expressão.",,6,1,at://did:plc:hqyjsba3n3ogqynzt7nliszr/app.bsky.feed.post/3ltaid5y7ds2b,dengue,Comum
2025-07-05 17:22:52.256000+00:00,usuario_anonimo_2403,"Quando citam o Serra, me lembro que a Globo o defendeu e ele foi o responsável pela extinção dos Mata Mosquito, o que fez com que os mosquitos se proliferassem e hoje temos a dengue matando sem que se consiga acabar com tantos focos.",,3,1,at://did:plc:bu66bsnducmfrod7lelsr5ao/app.bsky.feed.post/3ltabi6nas22y,dengue,Comum
2025-07-05 16:16:47.463000+00:00,usuario_anonimo_4243,"eu não preciso mais beber e nem fuma maconha
pq a covid
meu deu onda
terceira dengue
me deu onda
esquizofrenia
me deu onda",,0,0,at://did:plc:uhljifhcrdk2k3bqmv2g7wuc/app.bsky.feed.post/3lta5s2lrri2p,dengue,Comum
2025-07-05 13:31:10.753000+00:00,usuario_anonimo_1018,"suspeita de dengue. a médica disse pra eu esperar 3 dias, se eu não melhorar vou ter que ir no postinho fazer teste das plaquetas","[peacachy.bsky.social]: entendi. espero que não seja necessário, amg. uma rápida recuperação para você viu ❤️‍🩹 tome cuidado",1,0,at://did:plc:dblnyygfvgqfd3sprojec62m/app.bsky.feed.post/3lt7ujv52bc2q,dengue,Comum
2025-07-05 00:13:31.356000+00:00,usuario_anonimo_1692,To com suspeita de dengue,,0,0,at://did:plc:3obgrzusr3kjgpnyf5l6qk5k/app.bsky.feed.post/3lt6hxku4vs2j,dengue,Comum
2025-07-04 23:20:26.723000+00:00,usuario_anonimo_40,A ressaca veio como uma dengue hoje.,,0,0,at://did:plc:npyrptwxp4mtsqv3hfkw5fo7/app.bsky.feed.post/3lt6eynqups2f,dengue,Comum
2025-07-04 22:27:52.905000+00:00,usuario_anonimo_1449,"🦟 SAÚDE 🦟 | Manaus chega a 3 mil casos de dengue e registra a primeira morte em 2025
.
Leia agora: 👉🏼 fato360.com/manaus-casos...
.
💻 Fato 360 é um site com notícias do Amazonas, Brasil e do Mundo.",,0,0,at://did:plc:a6ntlbjtkbysduv7o7svibn6/app.bsky.feed.post/3lt6c2nzxe22i,dengue,Comum
2025-07-04 20:50:57.516757+00:00,g1-bot-rss.adilson.net.br,Piracicaba confirma 4ª morte por dengue; paciente era idoso morador da região sul,,0,0,at://did:plc:kzkl2onyewbs7pehh2ellzcb/app.bsky.feed.post/3lt64ngpqds2j,dengue,Oficial/Verificado
2025-07-04 20:28:32.823000+00:00,usuario_anonimo_1018,eu tô com suspeita de dengue 🫠🙃,,0,0,at://did:plc:dblnyygfvgqfd3sprojec62m/app.bsky.feed.post/3lt63fbnlrk2o,dengue,Comum
2025-07-04 18:06:06.028000+00:00,usuario_anonimo_1692,Estou com suspeita de dengue ;_;,[papoulasonifera.bsky.social]: Suspeita de dengo,1,0,at://did:plc:3obgrzusr3kjgpnyf5l6qk5k/app.bsky.feed.post/3lt5tgks5b22f,dengue,Comum
2025-07-04 17:25:21.070000+00:00,usuario_anonimo_1018,"finalmente em casa depois de ir na upa. eu achando que era dengue, mas a médica disse se for mesmo é pra eu observar por 3 dias pra ir no postinho fazer teste de dengue",,1,0,at://did:plc:dblnyygfvgqfd3sprojec62m/app.bsky.feed.post/3lt5r5p3wxk2g,dengue,Comum
2025-07-04 14:23:13.777000+00:00,usuario_anonimo_3868,Lembrem de levar as crianças da sua família pra tomar vacina contra a dengue!!!,,2,0,at://did:plc:vyn264ld6a5msd3zv5brssgx/app.bsky.feed.post/3lt5gy264ey2g,dengue,Comum
2025-07-04 08:50:22.472000+00:00,usuario_anonimo_4291,AOOOOOOOOO DENGUE NO FEUDO,"[v4lerian4.bsky.social]: ""Une espèce invasive exotique"" que escolha de palavras",1,0,at://did:plc:bwywcndl4fnrntyrirjc4zrj/app.bsky.feed.post/3lt4uetw2i22b,dengue,Comum
2025-07-04 03:14:24.903000+00:00,usuario_anonimo_127,"A hora de dormir pra mim é a melhor hora do dia, mas as últimas  noites têm sido difíceis. Toda hora acordando com o travesseiro molhado de suor, ora com frio, ora com calor.
Cuidem do quintal de vocês, não deixem água parada. Dengue é uma doença chata pra caramba.",,1,0,at://did:plc:2nsa5nyl76styq3r7a677py6/app.bsky.feed.post/3lt4bm45eus2w,dengue,Comum
2025-07-04 03:12:28.735000+00:00,usuario_anonimo_712,"▶️ Mato Grosso do Sul soma 20 mil casos de dengue e chikungunya e 28 mortes
Boletim da SES aponta alta incidência das doenças e reforça alerta

#UltimasNoticias #CapitalNews

www.capitalnews.com.br/cotidiano/sa...",,0,0,at://did:plc:kmy3mkgugqzte2csn7n7n5sk/app.bsky.feed.post/3lt4bine6lk2a,dengue,Comum
